HouseID,Bedrooms,Bathrooms,AreaSqFt,YearBuilt,Location,PropertyType,ParkingSpaces,HousePrice
HOUSE0402,2,3.5,1740,2019,Suburban,Apartment,0,589610
HOUSE0403,1,4.0,560,1984,Urban,Townhouse,3,397757
HOUSE0404,4,2.0,1438,2003,Urban,Apartment,1,482816
HOUSE0405,5,2.0,2139,2011,Urban,Independent House,0,679364
HOUSE0406,4,4.0,4620,2024,Urban,Apartment,0,1067328
HOUSE0407,1,1.5,4726,2013,Urban,Townhouse,2,1119096
HOUSE0408,6,2.5,4069,2018,Suburban,Independent House,2,1034343
HOUSE0409,6,1.0,1752,2009,Suburban,Apartment,1,509022
HOUSE0410,4,3.5,4703,1980,Urban,Independent House,3,1254089
HOUSE0411,3,1.0,671,1972,Urban,Apartment,1,359389
HOUSE0412,4,4.0,1958,1975,Urban,Apartment,3,642581
HOUSE0413,2,2.5,4049,1978,Rural,Townhouse,0,864518
HOUSE0414,2,3.5,4697,1975,Urban,Independent House,2,1000893
HOUSE0415,6,4.0,2822,1978,Suburban,Villa,1,980197
HOUSE0416,3,1.5,2136,2008,Suburban,Independent House,1,602243
HOUSE0417,1,2.0,3615,2000,Suburban,Independent House,3,893015
HOUSE0418,2,1.0,4590,2001,Rural,Apartment,3,855772
HOUSE0419,6,3.0,3504,2010,Urban,Apartment,1,1036398
HOUSE0420,5,3.0,829,2019,Rural,Villa,3,528178
HOUSE0421,6,2.5,4140,1981,Urban,Townhouse,1,1014398
HOUSE0422,2,1.5,4394,1977,Urban,Apartment,1,964140
HOUSE0423,2,1.0,4607,1977,Suburban,Apartment,1,940640
HOUSE0424,6,1.5,1841,2019,Rural,Independent House,0,673693
HOUSE0425,1,1.0,4163,1997,Suburban,Townhouse,3,917520
HOUSE0426,4,2.5,715,1989,Urban,Apartment,2,481431
HOUSE0427,2,2.5,838,2016,Urban,Independent House,2,474347
HOUSE0428,6,3.0,4562,1976,Rural,Townhouse,3,1150878
HOUSE0429,6,1.5,3208,1980,Urban,Apartment,1,871132
HOUSE0430,3,3.5,3652,1989,Suburban,Apartment,2,958563
HOUSE0431,4,3.0,2250,1985,Suburban,Independent House,2,636119
HOUSE0432,5,1.5,2921,1973,Suburban,Townhouse,3,800861
HOUSE0433,1,3.0,1209,1975,Urban,Apartment,2,399598
HOUSE0434,5,3.5,4226,1991,Suburban,Independent House,1,1148511
HOUSE0435,4,2.0,4142,1995,Urban,Independent House,3,1155312
HOUSE0436,4,2.0,4493,1972,Rural,Independent House,1,1011961
HOUSE0437,4,2.0,988,2010,Suburban,Independent House,2,414064
HOUSE0438,5,2.0,546,2011,Rural,Independent House,2,406635
HOUSE0439,4,4.0,3859,1983,Urban,Independent House,1,943790
HOUSE0440,6,1.0,900,1980,Rural,Independent House,0,476107
HOUSE0441,5,4.0,4490,1987,Suburban,Independent House,2,1118741
HOUSE0442,4,4.0,3657,2023,Urban,Independent House,0,1025131
HOUSE0443,6,4.0,4845,1981,Urban,Townhouse,2,1215052
HOUSE0444,3,2.0,890,1992,Suburban,Apartment,0,305311
HOUSE0445,4,3.5,4353,1981,Suburban,Townhouse,0,1074405
HOUSE0446,5,2.5,4930,1982,Suburban,Townhouse,0,1141669
HOUSE0447,2,2.5,1128,1994,Urban,Apartment,1,433764
HOUSE0448,4,1.0,4732,2014,Urban,Independent House,0,1105165
HOUSE0449,2,2.0,3430,2020,Suburban,Independent House,0,899003
HOUSE0450,6,2.0,2021,1988,Urban,Apartment,0,712069
HOUSE0451,3,2.0,1326,2024,Suburban,Independent House,2,520834
HOUSE0452,1,3.0,2000,2015,Rural,Apartment,0,569196
HOUSE0453,3,1.5,3794,2005,Rural,Apartment,2,858514
HOUSE0454,4,3.0,2919,2014,Rural,Villa,0,914008
HOUSE0455,2,1.5,1434,1977,Suburban,Apartment,0,315174
HOUSE0456,2,2.0,3542,1998,Urban,Villa,1,1009632
HOUSE0457,5,2.0,4997,2024,Suburban,Independent House,2,1228486
HOUSE0458,2,3.0,1966,2022,Suburban,Townhouse,0,605856
HOUSE0459,5,3.0,4061,2024,Suburban,Independent House,2,1097114
HOUSE0460,6,1.5,1114,2001,Urban,Apartment,2,537805
HOUSE0461,1,2.5,1682,2020,Suburban,Independent House,3,592345
HOUSE0462,4,1.5,3723,2013,Urban,Apartment,1,925281
HOUSE0463,5,3.0,3167,1987,Suburban,Independent House,1,902714
HOUSE0464,1,3.5,630,1975,Rural,Townhouse,1,318826
HOUSE0465,2,3.0,3483,1987,Suburban,Apartment,3,769633
HOUSE0466,2,3.5,4778,1988,Urban,Independent House,3,1124413
HOUSE0467,1,1.0,4959,1991,Rural,Villa,1,1078693
HOUSE0468,2,3.0,538,2006,Suburban,Townhouse,3,303238
HOUSE0469,6,1.0,4459,2001,Urban,Independent House,3,1152885
HOUSE0470,6,2.5,4087,2025,Urban,Apartment,3,1177116
HOUSE0471,1,1.5,1420,2010,Urban,Independent House,1,572779
HOUSE0472,5,3.5,3269,1972,Urban,Apartment,1,888929
HOUSE0473,5,1.5,4611,1997,Rural,Villa,1,1152968
HOUSE0474,1,1.0,992,1979,Suburban,Townhouse,3,386306
HOUSE0475,5,3.5,1631,2020,Rural,Villa,1,578182
HOUSE0476,5,1.5,4021,2004,Urban,Townhouse,3,1017621
HOUSE0477,6,3.0,810,1998,Urban,Apartment,0,360118
HOUSE0478,5,2.0,1238,2023,Suburban,Villa,3,612955
HOUSE0479,3,1.0,3741,1984,Urban,Townhouse,2,886629
HOUSE0480,4,1.5,1045,2002,Suburban,Apartment,1,492184
HOUSE0481,2,1.0,2961,1976,Rural,Townhouse,1,519927
HOUSE0482,3,4.0,4846,1981,Suburban,Apartment,2,1088445
HOUSE0483,5,1.0,2304,2018,Suburban,Independent House,3,775098
HOUSE0484,6,3.5,3712,1999,Urban,Villa,0,1159297
HOUSE0485,1,4.0,4310,1990,Urban,Independent House,2,1126687
HOUSE0486,5,3.5,1313,2000,Urban,Apartment,2,585193
HOUSE0487,6,2.0,4624,1993,Suburban,Independent House,3,1193434
HOUSE0488,4,4.0,2532,1989,Urban,Independent House,1,703435
HOUSE0489,5,3.0,4913,2006,Urban,Townhouse,3,1210927
HOUSE0490,1,1.0,744,1973,Suburban,Independent House,2,208185
HOUSE0491,6,1.5,771,1997,Urban,Independent House,2,533610
HOUSE0492,6,2.5,4011,2013,Urban,Villa,1,1220815
HOUSE0493,6,1.0,2271,1989,Urban,Independent House,1,760057
HOUSE0494,4,1.0,1762,1993,Rural,Independent House,1,483488
HOUSE0495,5,2.0,2924,2019,Suburban,Independent House,3,826273
HOUSE0496,4,3.0,4861,2018,Suburban,Townhouse,1,1186852
HOUSE0497,2,2.5,1420,2020,Urban,Independent House,2,533931
HOUSE0498,2,4.0,3930,2001,Rural,Independent House,2,892380
HOUSE0499,5,4.0,4935,2010,Suburban,Apartment,0,1160681
HOUSE0500,4,4.0,4984,2005,Urban,Apartment,3,1206883
